wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w2121301,0.0001070613578429444,7.933407807598288e-5,0.6910801038146018,0.6490051439404488,686.5759253501891,167.7668839693068,2411.212004772221,6,144,4852.242889341898,BADS
wb14ab17,0.00012992515311483114,0.0023522879211974016,0.4042265319824219,0.003995285034179766,1919.256591796875,1298.4199523925781,1686.056268443002,6,94,3399.372305579624,BADS
wc59a729,0.00014239373580933736,0.009999649806706661,0.40408739441074715,0.009773978828135087,2758.7597968759183,1433.3301831331707,1691.2286764389653,6,95,3409.780614227534,BADS
wcb4623a,9.097188905907822e-5,7.287113620691875e-5,0.9890686921961604,0.630330226290971,876.1848667636513,1011.2894028425216,1651.2795216423044,6,95,3329.8823046342122,BADS
w672a25c,8.568486507139608e-5,7.316080387035063e-5,0.9956677118116385,0.7865712995480681,917.20141355745,292.2581822735081,1524.796607778738,6,89,3076.525033775869,BADS
wf36c682,0.00010194455332969386,8.432467946579209e-5,0.682583369278268,0.5532860036364741,771.7060752101816,208.83416459371347,1605.124360758648,6,95,3237.5719828668994,BADS
w5c58b96,0.00021524411089332923,0.003526055647553418,0.34434352023470644,0.007925613614424995,4298.150511801941,1574.4487414913237,1509.0185236351754,6,83,3044.5500909171305,BADS
w397496b,0.00010483349788706253,8.55055563437294e-5,0.7843518775821575,0.6401873242975853,845.8026987726041,283.9850776428648,2438.494907661578,6,145,4906.85021777768,BADS
w9376389,5.496280802236434e-5,6.730637738218642e-5,1.0299929788708686,0.753993419110775,1769.4114565849302,580.132046341896,1570.823155375223,6,87,3168.4417594623733,BADS
w158db17,0.00013814648887365723,0.0030411106811046185,0.431013013124466,0.0030098414421082125,2200.875771045685,724.1614818572997,1628.044014031992,6,95,3283.4112894135874,BADS
w9864444,0.0002497004205814245,0.0012150487788249807,0.26942419201135637,0.005648027360439349,939.9593532085419,1111.3651454448698,2446.9640806418383,6,145,4923.7885637382005,BADS
w05e5ad5,7.477111103516115e-5,5.878053797561599e-5,1.045086158382255,0.7843796953245328,465.2952490541791,49.8631597103669,1629.8489846654265,6,90,3286.6968273528346,BADS
w6d23692,0.00011387020198182683,4.9125788358422e-5,0.7764914767618756,0.5873538618708608,792.4750910102375,73.49358824117171,2405.197984053772,6,140,4840.0458226432,BADS
we289943,0.000175829461373942,0.008569062528113085,0.39956822524240576,0.0010024871841551781,2062.4286789493453,1035.5718239040468,2472.2236313391654,6,141,4974.1398220206,BADS
w6f95ee3,6.634472353395293e-5,0.00011156998886971192,0.8679975708818528,0.7015354645147454,1328.1103423214518,499.94237500941375,2470.029969427346,6,145,4969.9203413092155,BADS
w6eb2a0a,6.744102719663146e-5,7.688983380400227e-5,1.0456760455572656,0.7102158465267713,2337.3624533829566,537.297208995733,1336.3435714858992,6,75,2698.5920716530163,BADS
w2424d8d,0.00010588795361995406,0.00010715965658870702,0.7897499303929639,0.6110077433722998,787.8651043328629,251.55044494056094,1642.0276876032335,6,99,3311.626094307275,BADS
