pda,ana,mean_ll,diff
-17.132508460334705,-17.119197354246722,-17.125852907290714,-0.013311106087982694
-18.05919750970885,-18.061091554333036,-18.060144532020942,0.0018940446241870745
-18.804080654032024,-18.758610988037802,-18.78134582103491,-0.0454696659942222
-17.58106128688777,-17.384074408278998,-17.482567847583383,-0.1969868786087723
-19.298170870620925,-19.541965513130137,-19.42006819187553,0.24379464250921146
-19.38795775384052,-19.137452994096954,-19.262705373968736,-0.250504759743567
-18.97707272652776,-18.761778172977642,-18.8694254497527,-0.21529455355011606
-18.73899207072712,-18.638086048591497,-18.68853905965931,-0.10090602213562505
-19.37309650271143,-19.35480453906689,-19.363950520889162,-0.018291963644539777
-16.77487104351067,-16.596459434611287,-16.68566523906098,-0.1784116088993848
-19.102161521623948,-19.12625860078034,-19.114210061202144,0.024097079156391032
-16.771783561182577,-16.58783945032711,-16.67981150575484,-0.18394411085546736
-18.93464256488263,-18.545014811984686,-18.739828688433658,-0.38962775289794394
-17.379614979959165,-17.36873655186071,-17.37417576590994,-0.010878428098454407
-17.828571295009695,-17.88375862136513,-17.856164958187414,0.05518732635543344
-16.17820080193847,-16.16188259015567,-16.170041696047072,-0.016318211782799352
-17.984931190841376,-17.995194173500337,-17.99006268217086,0.010262982658961306
-18.678712450873814,-18.43757139463137,-18.55814192275259,-0.2411410562424443
-16.175035815311873,-16.145947101068508,-16.16049145819019,-0.029088714243364677
-18.430070201067714,-18.194367105750075,-18.312218653408895,-0.2357030953176391
-18.541354875871537,-18.531784864844226,-18.53656987035788,-0.009570011027310699
-16.404921047457655,-16.33808842336233,-16.371504735409992,-0.06683262409532631
-18.71311771863522,-18.477437488587622,-18.59527760361142,-0.23568023004759908
-19.81178054037912,-19.368583491393505,-19.590182015886313,-0.44319704898561696
-18.006273172300325,-17.85876737038452,-17.932520271342423,-0.14750580191580553
-18.0799684811561,-18.03877994334661,-18.059374212251356,-0.04118853780948939
-17.41125380811429,-17.515709095242954,-17.46348145167862,0.10445528712866547
-18.056332997015055,-18.01462132960185,-18.035477163308453,-0.0417116674132032
-18.101524506527873,-18.078841469946386,-18.09018298823713,-0.02268303658148696
-17.962709999371974,-17.94644714430651,-17.954578571839242,-0.0162628550654631
-19.59504937975904,-19.642396746567442,-19.61872306316324,0.04734736680840257
-17.96871823081947,-18.19766938281654,-18.083193806818002,0.2289511519970695
-16.123788258299015,-16.116843529369554,-16.120315893834285,-0.006944728929461519
