trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
90,1,1,1855.0,433.0,-15.404993271809426,false,1000,-15.13030809525138,-0.27468517655804625
91,1,2,2165.0,1878.0,-16.286098871064393,false,1000,-16.350673362685,0.06457449162060769
92,1,2,2065.0,2084.0,-16.150574468432243,false,1000,-16.284308576695715,0.13373410826347154
93,2,3,2439.0,2859.0,-17.20370249348295,false,1000,-17.31047277945909,0.10677028597613969
94,1,1,1902.0,1184.0,-15.094730889343014,false,1000,-15.185778635030099,0.09104774568708507
95,2,4,2087.0,1620.0,-15.998349917725301,false,1000,-16.116902958144035,0.1185530404187336
96,2,3,3767.0,705.0,-17.11831057922877,false,1000,-17.59088294092291,0.47257236169414085
97,2,4,2623.0,1411.0,-16.17058758879824,false,1000,-16.20008472419918,0.02949713540093768
98,2,3,2057.0,715.0,-15.177120461784181,false,1000,-15.092556429550775,-0.08456403223340558
99,2,4,2059.0,1731.0,-16.580835186311514,false,1000,-16.485297700795293,-0.09553748551622121
100,1,2,2151.0,1324.0,-16.19544367895905,false,1000,-16.177525303597005,-0.0179183753620471
101,2,3,5307.0,872.0,-18.75831197279563,false,1000,-18.88682940021882,0.12851742742318706
102,2,4,5380.0,2280.0,-18.57305903818506,false,1000,-18.694227949938533,0.12116891175347178
103,2,3,3383.0,323.0,-16.92707974423973,false,1000,-16.855737331992295,-0.07134241224743576
104,2,4,5407.0,2242.0,-19.019826575823767,false,1000,-19.24340447869602,0.223577902872254
105,1,1,7672.0,2108.0,-20.649261765082976,false,1000,-21.059640313973667,0.4103785488906908
106,1,1,2577.0,862.0,-16.47425848347648,false,1000,-16.252617971315075,-0.2216405121614038
107,2,3,1402.0,818.0,-14.680922900514886,false,1000,-14.449345537989327,-0.2315773625255595
108,1,2,5730.0,2940.0,-19.37714360862935,false,1000,-19.549000330773367,0.17185672214401748
109,2,4,1955.0,1537.0,-15.71730551820647,false,1000,-15.833241901300925,0.11593638309445531
110,1,1,9380.0,2571.0,-20.757929716069004,false,1000,-21.095257039266173,0.33732732319716874
111,2,3,8665.0,2568.0,-20.1950546931117,false,1000,-20.179699849916112,-0.01535484319558833
112,1,1,2089.0,521.0,-15.182674871913148,false,1000,-15.254419807113667,0.07174493520051861
113,2,4,2112.0,2070.0,-16.27224041502456,false,1000,-16.243250080474954,-0.028990334549604313
114,1,1,3466.0,574.0,-18.060514175003245,false,1000,-18.170583083847205,0.11006890884396014
115,2,3,5833.0,585.0,-17.68671628497051,false,1000,-17.87106337773291,0.18434709276239758
